SentimentText,UserName,CreationDate,Image,FollowerCount,FollowingCount,Verified,ReTweet,Likes,ID,Polarity,bio
One Plus 9 Pro czy Oppo Find X3 Pro ?,jakubgornicki,04/14/2021 01:16:27,https://pbs.twimg.com/profile_images/1317897066350301186/Q8TLTT2J_normal.jpg,4467,1410,False,0,0,1382321855340613639,0.000,"CEO, co-founder at @outrid3rs. Digital, foreign affairs, journalism and travel. 

Former: @epforgpl, @pdfcee, @podrozniccy, @sourcefabric"
"@OnePlus_IN One plus 1, 2,3,5,6,7pro, 8pro and 9 pro. Every gen phone. Currently our family uses the last 4.",samareshcs,04/14/2021 12:23:03,https://pbs.twimg.com/profile_images/1088439132135731200/D4w9OZis_normal.jpg,78,392,False,0,0,1382308417960747018,0.000,"Academician, Writer, Author, Teacher. Proud Indian. to meindependence is swallow without liberty. freedom is nothing without being able to speak up."
"One Plus 9 Pro 256GB/12GB
@Ksh.112,500
+FREE DELIVERY (pay on delivery)
-0705596611

Nakuru
Raila Odinga
Martha koome
Justice warsame https://t.co/Q0QvW8iBms",TheTomorrowTech,04/14/2021 11:25:41,https://pbs.twimg.com/profile_images/1255858089582120962/0nZCW8D2_normal.jpg,9412,6849,False,0,0,1382293979098710016,0.400,"For genuine Smartphones,Tablets,TVs,Hometheatre systems,Smart watches,phone accessories,we offer FREE deliveries (pay on delivery) +254705596611"
"@RajivMakhni Sir which one should one buy, One Plus 9 pro or Vivo x60 pro",SisirBajoria,04/14/2021 10:52:44,https://pbs.twimg.com/profile_images/1138471374736044032/y3xoyX4B_normal.jpg,63,56,False,0,0,1382285688901537795,0.000,
"Tech News #8 - Samsung M42 Price Leak, Vivo V21 Launch,  Samsung S20 FE,  One Plus 9 Pro, Realme Q:-https://t.co/Z93qaWb9ib",TechnicalSudhir,04/14/2021 09:29:44,https://pbs.twimg.com/profile_images/1280780238134194176/aqvhZfSJ_normal.jpg,15,0,False,0,0,1382264802945372167,0.000,Official Twitter Account of Technical Sudhir
@oneplus I whould like get one plus 9 pro to get my channel grow 😂,Mohanad83114959,04/14/2021 08:21:47,https://pbs.twimg.com/profile_images/1275407310932914178/L_oiO9Rp_normal.jpg,4,126,False,0,0,1382247700389896193,0.000,"Bro Brawl Stars player 👻🔥🔥🔥🔥
Youtube : 
littlemare-brawlstars"
@oneplus I would pop 10 eggs on my head for a one plus 9 pro,_CurryLeaf_,04/14/2021 08:03:13,https://pbs.twimg.com/profile_images/1277480166193631233/fkHkHS3J_normal.jpg,5,114,False,0,0,1382243028983640067,0.000,"A Gamer of all sorts, A food lover, and a POI some may say"
@amazonIN is one plus 9 pro available. I tried to find it at 13 noon but could not find,singhabhay28,04/14/2021 07:50:42,https://pbs.twimg.com/profile_images/1286328992811765761/ObSObNFQ_normal.jpg,116,148,False,0,0,1382239878717399049,0.400,"har rom me samaye ram,ye ram ki dhara ha
kya hai mera yahaan,sab tera diya ha
tujhse nikla hoon aur tujhme samana ha
bhatka hoon prabhu,Lekin tere pass aana ha"
"@geekyranjit @adroitaman I'd say One plus 7 pro was last decent Smartphone from OnePlus. Their Downfall started from One plus 7t. And Probably oneplus 9 pro is the last shot in the coffin, if they keep things as it is.",iamsuvajit,04/14/2021 07:47:32,https://pbs.twimg.com/profile_images/946488977581674496/trk4-pFC_normal.jpg,45,87,False,0,1,1382239083410325504,0.055,
"@OnePlus_IN @OnePlus_Support @PeteLau  I saw only two 5g bands on the One plus 9 pro.  I wanted to ask, is it advisable to buy one plus 9 pro in India now because I'll be going for my higher education in the US this August this year for almost 2 to 3 years?",abbyabbyshek,04/14/2021 07:00:33,https://pbs.twimg.com/profile_images/1366995732096421888/BdQJkrBK_normal.jpg,2,2,False,0,0,1382227258702696448,0.125,
"Oneplus 9 Pro Vs Samsung Galaxy S21 Plus Comparison | Snapdragon Vs Exynos | Which One to Buy?

https://t.co/Os40MrKVQS",Techcentral__,04/14/2021 04:43:34,https://pbs.twimg.com/profile_images/911575567786434566/s5an_eVN_normal.jpg,37,58,False,0,0,1382192786850639874,0.000,"Youtube Channel 
The Tech And Our Updates"
@oneplus I would like a discount for one plus 9 pro,pratyush_mitra,04/14/2021 04:41:06,https://pbs.twimg.com/profile_images/378800000370672278/c01e7f8829ed25f664910bbe18033197_normal.jpeg,43,223,False,0,0,1382192163560194053,0.000,
@amit_vaddi @geekyranjit Dont buy its just hasselbad hype for one plus 9 pro wait for some time,Vikatakavi17,04/14/2021 04:06:23,https://pbs.twimg.com/profile_images/1332901248853393408/TCdy5kPj_normal.jpg,364,411,False,0,0,1382183429530210304,0.000,
@oneplus Iron box one plus 9 pro 12 256 ram varient,sriram00713,04/14/2021 02:45:32,https://pbs.twimg.com/profile_images/1236132631206494214/0Z6-ObOy_normal.jpg,18,47,False,0,1,1382163081711611904,0.000,
Watching “The Love Boat” Season One Episode Three: Ex Plus Y/Graham and Kelly/Goldenagers on Paramount+ via My IPAD Pro 9.7. {CL:510} https://t.co/m31DRApR4A,borntoserve1968,04/14/2021 01:35:14,https://pbs.twimg.com/profile_images/484447486640021505/QOoHZyYq_normal.jpeg,692,3874,False,0,0,1382145391186038788,0.500,"I am a 53 year old black man that loves to read, watch Sports and Television Shows. I also play a lot of NBA Live and NBA 2k and Now Pokémon Sword and Shield."
