SentimentText,UserName,CreationDate,Image,Location,FollowerCount,FollowingCount,Verified,ReTweet,Likes,ID,Polarity,bio
One Plus 9 Pro czy Oppo Find X3 Pro ?,jakubgornicki,04/14/2021 01:16:27,https://pbs.twimg.com/profile_images/1317897066350301186/Q8TLTT2J_normal.jpg,,4467,1410,False,0,0,1382321855340613639,0.000,"CEO, co-founder at @outrid3rs. Digital, foreign affairs, journalism and travel. 

Former: @epforgpl, @pdfcee, @podrozniccy, @sourcefabric"
"@OnePlus_IN One plus 1, 2,3,5,6,7pro, 8pro and 9 pro. Every gen phone. Currently our family uses the last 4.",samareshcs,04/14/2021 12:23:03,https://pbs.twimg.com/profile_images/1088439132135731200/D4w9OZis_normal.jpg,,78,392,False,0,0,1382308417960747018,0.000,"Academician, Writer, Author, Teacher. Proud Indian. to meindependence is swallow without liberty. freedom is nothing without being able to speak up."
"@RajivMakhni Sir which one should one buy, One Plus 9 pro or Vivo x60 pro",SisirBajoria,04/14/2021 10:52:44,https://pbs.twimg.com/profile_images/1138471374736044032/y3xoyX4B_normal.jpg,,63,56,False,0,0,1382285688901537795,0.000,
"Tech News #8 - Samsung M42 Price Leak, Vivo V21 Launch,  Samsung S20 FE,  One Plus 9 Pro, Realme Q:-https://t.co/Z93qaWb9ib",TechnicalSudhir,04/14/2021 09:29:44,https://pbs.twimg.com/profile_images/1280780238134194176/aqvhZfSJ_normal.jpg,,15,0,False,0,0,1382264802945372167,0.000,Official Twitter Account of Technical Sudhir
@oneplus I whould like get one plus 9 pro to get my channel grow 😂,Mohanad83114959,04/14/2021 08:21:47,https://pbs.twimg.com/profile_images/1275407310932914178/L_oiO9Rp_normal.jpg,,4,126,False,0,0,1382247700389896193,0.000,"Bro Brawl Stars player 👻🔥🔥🔥🔥
Youtube : 
littlemare-brawlstars"
@oneplus I would pop 10 eggs on my head for a one plus 9 pro,_CurryLeaf_,04/14/2021 08:03:13,https://pbs.twimg.com/profile_images/1277480166193631233/fkHkHS3J_normal.jpg,,5,114,False,0,0,1382243028983640067,0.000,"A Gamer of all sorts, A food lover, and a POI some may say"
"Oneplus 9 Pro Vs Samsung Galaxy S21 Plus Comparison | Snapdragon Vs Exynos | Which One to Buy?

https://t.co/Os40MrKVQS",Techcentral__,04/14/2021 04:43:34,https://pbs.twimg.com/profile_images/911575567786434566/s5an_eVN_normal.jpg,,37,58,False,0,0,1382192786850639874,0.000,"Youtube Channel 
The Tech And Our Updates"
@oneplus I would like a discount for one plus 9 pro,pratyush_mitra,04/14/2021 04:41:06,https://pbs.twimg.com/profile_images/378800000370672278/c01e7f8829ed25f664910bbe18033197_normal.jpeg,,43,223,False,0,0,1382192163560194053,0.000,
@amit_vaddi @geekyranjit Dont buy its just hasselbad hype for one plus 9 pro wait for some time,Vikatakavi17,04/14/2021 04:06:23,https://pbs.twimg.com/profile_images/1332901248853393408/TCdy5kPj_normal.jpg,,364,411,False,0,0,1382183429530210304,0.000,
@oneplus Iron box one plus 9 pro 12 256 ram varient,sriram00713,04/14/2021 02:45:32,https://pbs.twimg.com/profile_images/1236132631206494214/0Z6-ObOy_normal.jpg,,18,47,False,0,1,1382163081711611904,0.000,
@oneplus I would stop craving for a one plus Pro 9 if you releasd them in Australia. 🙏,Caluwant,04/13/2021 09:02:27,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,24,173,False,0,0,1382076739132682246,0.000,Living life is better than being worm food.
@oneplus choose photography as a career for one plus 9 pro,menochlophobic,04/13/2021 05:51:53,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,7,275,False,0,0,1382028784942030851,0.000,
@PeteLau Shot on one plus 9 or 9 pro?,Mohit_Krishna0,04/13/2021 04:41:27,https://pbs.twimg.com/profile_images/1285215844566351873/n_GUo2FC_normal.jpg,,10,113,False,0,0,1382011056835325956,0.000,"𝓘𝓷 𝓶𝔂 𝓸𝔀𝓷 𝓵𝓪𝓷𝓮, 𝓸𝓷 𝓶𝔂 𝓸𝔀𝓷 𝓯𝓻𝓮𝓺𝓾𝓮𝓷𝓬𝔂."
@oneplus I would need to sell my one kidney for a one plus 9 Pro,kavinsatha,04/13/2021 03:48:33,https://pbs.twimg.com/profile_images/1370060301677174784/fzglvWT0_normal.jpg,,57,361,False,0,0,1381997746551328770,0.000,"ERP consultant, INC Fan"
@oneplus You should buy AC for one plus 9 pro 🤣🤣🤣🤣,ManasChandraBe5,04/13/2021 03:16:09,https://pbs.twimg.com/profile_images/1381139673448210435/S0jC5MTW_normal.jpg,,4,33,False,0,0,1381989593034072065,0.000,
"@oneplus Hey, I have one plus 8T but I want to upgrade it to 9 pro. Please help",sachin29149525,04/13/2021 02:21:22,https://pbs.twimg.com/profile_images/1302118294523002880/gXytA6_M_normal.jpg,,4,115,False,0,3,1381975806163841024,0.000,
"@oneplus If you are going to give it away.

I would Make an Ultimate Unboxing for a One Plus 9 pro.",mhixid,04/13/2021 01:58:58,https://pbs.twimg.com/profile_images/1334376114102288384/0uHhXi6D_normal.jpg,,2,97,False,0,0,1381970167538675713,0.000,meh
@GyanTherapy Heating issue like one plus 9 pro?,Farhanabir1212,04/13/2021 09:24:29,https://pbs.twimg.com/profile_images/1360630784051171337/jojpoYHs_normal.jpg,,117,168,False,0,3,1381901093005795329,0.000,Leakers
