SentimentText,UserName,CreationDate,Image,Location,FollowerCount,FollowingCount,Verified,ReTweet,Likes,ID,Polarity,bio
"The best or nothing... 🤣

https://t.co/SUYnJJfo9x",archie_makuwa,04/10/2021 02:36:49,https://pbs.twimg.com/profile_images/1298288211555422209/jpTFeZgR_normal.jpg,,672,2502,False,0,0,1380892528233361418,1.000,"Code, music, craft beer and traveling to remote areas are the only real languages I speak."
"Yo @OnePlus_USA the Pro mode for photos on the One Plus 9 Pro is great, but is there a chance we can get a pro mode for the video? https://t.co/17IzYLbuvE",mrtechrant,04/10/2021 02:01:51,https://pbs.twimg.com/profile_images/1348097818347581442/L7YqNs--_normal.jpg,,2173,153,False,0,7,1380883728562540546,0.800,I’m just a guy that likes to bring common sense to tech and have some fun along the way.
@oneplus I need one plus 9 pro It is nice to have it.....,subhash1661660,04/12/2021 01:25:05,https://pbs.twimg.com/profile_images/1379602521124179968/teGW3E0g_normal.jpg,,1,10,False,1,1,1381599254112694276,0.600,electronic lover
"@theoneplusclub Vivo Z1 Pro...
Want to own One plus 9",nidhi_rn,04/09/2021 01:37:32,https://pbs.twimg.com/profile_images/1137541897734434817/mgKwPCEM_normal.jpg,,349,609,False,0,1,1380515222448824320,0.600,"Fun loving
Contest lover
IT Professional
Giveaways"
"@ZacksJerryRig My wife and I loved watching you One plus 9 Pro camera video.

My DJI Mavic 2 Pro drone also has an outstanding Hasselblad camera on it.

As I understand it, DJI now owns Hasselblad.

Thanks for another enjoyable video!",captainhammonds,04/10/2021 12:13:28,https://pbs.twimg.com/profile_images/1079276494877265920/zxyLNbq9_normal.jpg,,18,286,False,0,0,1380675260366823424,0.506,"Former Enlisted Marine, Naval Officer, Army Officer and now retired"
Watching “The Love Boat” Season One Episode Three: Ex Plus Y/Graham and Kelly/Goldenagers on Paramount+ via My IPAD Pro 9.7. {CL:510} https://t.co/m31DRApR4A,borntoserve1968,04/14/2021 01:35:14,https://pbs.twimg.com/profile_images/484447486640021505/QOoHZyYq_normal.jpeg,,692,3874,False,0,0,1382145391186038788,0.500,"I am a 53 year old black man that loves to read, watch Sports and Television Shows. I also play a lot of NBA Live and NBA 2k and Now Pokémon Sword and Shield."
"@oneplus Jack of all trades, champion of none.
Screen - Samsung is better
Performance - Asus rog phone 5 is better
Camera - Samsung and Apple are better
Battery life - Asus rog phone 5 way better
Design - Samsung is better
One plus 9/9 pro champion at what?",f2p_tartaglia,04/12/2021 11:21:07,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,0,27,False,0,9,1381568057605124097,0.500,
"Congratulations @oneplus for reaching 2.4 million followers....
It's time for some party and the most awaited giveaway of 9 one plus 9 pro devices .",burmannayak,04/12/2021 04:15:51,https://pbs.twimg.com/profile_images/1037327201815814144/wJXTBO8s_normal.jpg,,2,45,False,0,1,1381461033001226241,0.500,
"@ImjustSayingJC It's more like ""why the One Plus 9 pro is better than the S21 Ultra"" posts and videos.",lasterd80,04/12/2021 03:20:38,https://pbs.twimg.com/profile_images/1371303785553858564/f3iTxooS_normal.jpg,,1075,726,False,0,3,1381447139885219842,0.500,"If you're subbing to my twitter page, I have to tell you that my page is PRIMARILY a tech page.

I have another page @DERRICK39195237 that is non-tech related."
@MrKhan12769756 @HFVUnbox X60 pro ya s20fe 5g dono hi best he. Bas personal preference pe depend karta he (UI and brand value and all that). Bas check kar lena ki kahi x60 pro b one plus 9 k jese sirf 2 5g bands na de raha ho kyu ki s20fe 9 bands deta he 5g k,DarthVa36736015,04/11/2021 08:32:14,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,0,4,False,0,0,1381163165694619648,0.500,Don't Argue Because You Won't Win
"@OnePlus_IN Before sale, please deliver my ONE PLUS 9 PRO which I ordered more than 10 days ago. Your team escalated the issue more than a week ago but no update yet. If there is a competition for the shittiest customer service, you definitely are gonna win!

#annoyedcustomer",karanb192,04/10/2021 06:48:29,https://pbs.twimg.com/profile_images/974192658267680768/eVohv_JL_normal.jpg,,456,3168,False,0,4,1380774668504723456,0.500,Engineering Manager @Sophos | IIT Kanpur
"How did NEWS18 know that the thief is from Delhi? :-)

Delhi Thief Returns Man's Phone He Snatched After Realising It's Not One Plus 9 Pro https://t.co/Cnchpcjp26",SauravSenTwit,04/09/2021 01:42:40,https://pbs.twimg.com/profile_images/2451514518/9koltg7oqhruvnsshymp_normal.jpeg,,13,11,False,0,0,1380516514277720064,0.500,Logical
"One Plus 9 Pro 256GB/12GB
@Ksh.112,500
+FREE DELIVERY (pay on delivery)
-0705596611

Nakuru
Raila Odinga
Martha koome
Justice warsame https://t.co/Q0QvW8iBms",TheTomorrowTech,04/14/2021 11:25:41,https://pbs.twimg.com/profile_images/1255858089582120962/0nZCW8D2_normal.jpg,,9412,6849,False,0,0,1382293979098710016,0.400,"For genuine Smartphones,Tablets,TVs,Hometheatre systems,Smart watches,phone accessories,we offer FREE deliveries (pay on delivery) +254705596611"
@amazonIN is one plus 9 pro available. I tried to find it at 13 noon but could not find,singhabhay28,04/14/2021 07:50:42,https://pbs.twimg.com/profile_images/1286328992811765761/ObSObNFQ_normal.jpg,,116,148,False,0,0,1382239878717399049,0.400,"har rom me samaye ram,ye ram ki dhara ha
kya hai mera yahaan,sab tera diya ha
tujhse nikla hoon aur tujhme samana ha
bhatka hoon prabhu,Lekin tere pass aana ha"
"@oneplus I would not replace One Plus 7 pro with
One Plus 9 pro until I'm going to get it for free.",Rahul17102017,04/13/2021 05:18:25,https://pbs.twimg.com/profile_images/1278093248540610561/ippzmbU3_normal.jpg,,911,507,False,0,0,1382020362729218051,0.400,Proud to be a gooner. 🔫 ⚽ 😎
@Lekelee17 @EhrgeizGT @RanaTalay @imnotshreyas @BenGeskin One plus 9 pro is my primary and iPhone is my work phone,navisxo,04/13/2021 03:06:25,https://pbs.twimg.com/profile_images/1374250244477743115/ZUKIv4Yo_normal.jpg,,203,211,False,0,1,1381987143388659714,0.400,hear my music at the link 👇🏻
@iamprasadtech #prasadtechintelugu anna pls naa question ki answer cheyyi which one is best camera phone Samsung s21 plus vs one plus 9 pro vs vivo x60 pro and overall ga edi best phone konadaniki I'm confused,kumarc_l,04/09/2021 04:45:07,https://pbs.twimg.com/profile_images/1316428898071056385/YasXwHZG_normal.jpg,,0,84,False,0,0,1380562431194189828,0.400,Nothing
@Joe__Tennis @BurgerKingUK No longer with Google fi either went with super cheap plan from mint. Thats lte speed until my one plus 9 pro arrives which supports 5G https://t.co/KExbfBUxGe,bjorn6,04/11/2021 07:11:47,https://pbs.twimg.com/profile_images/845640492519997442/0QV0B51h_normal.jpg,,675,3023,False,0,1,1381324113990455296,0.366,"I love tennis, and technology"
"@parineet_v Don't think twice to go for 12 or 12 pro if S21 series is not on you list..9/pro are the ugliest one plus phones to date..they are a complete Chinese rip off, 8 pro was peak one plus..Buy the s21 ultra if you want the best. Nothing else.",rishikydv1,04/11/2021 04:40:26,https://pbs.twimg.com/profile_images/1371172822626619393/cupzDIAX_normal.jpg,,43,159,False,0,1,1381286026589564936,0.366,"23,
I love new smartphones and their leaks!"
Watching “Law &amp; Order: Special Victims Unit” Season Eleven Episode One: Unstable on Hulu Plus via My IPAD Pro 9.7. {CL:029} https://t.co/tm7dVSAtTc,borntoserve1968,04/13/2021 12:37:34,https://pbs.twimg.com/profile_images/484447486640021505/QOoHZyYq_normal.jpeg,,692,3874,False,0,0,1381768490424614912,0.357,"I am a 53 year old black man that loves to read, watch Sports and Television Shows. I also play a lot of NBA Live and NBA 2k and Now Pokémon Sword and Shield."
Why I SWITCHED from an iPhone to the One Plus 9 Pro - The Full Story https://t.co/Sitq8Qopyb via @YouTube https://t.co/q0V23HQ3x1,mrtechrant,04/11/2021 12:28:51,https://pbs.twimg.com/profile_images/1348097818347581442/L7YqNs--_normal.jpg,,2173,153,False,4,17,1381222712262164480,0.350,I’m just a guy that likes to bring common sense to tech and have some fun along the way.
"“Bhai, mujhe laga One Plus 9 Pro hai.""

A Delhi thief returned a man's phone after he realized it wasn't as good enough.

https://t.co/e8qUhd5NWx",news18dotcom,04/09/2021 10:30:00,https://pbs.twimg.com/profile_images/1162274270212308993/VISZ-o80_normal.jpg,,151064,148,True,0,1,1380649221188161537,0.350,"More than just news, analysis & opinion. The digital platform of @CNNnews18

We're now on Telegram: https://t.co/4JMWUefhbD"
@HariFCMessi Idk no phone is perfect tbh. They have some let down depending on your preferences. But im only looking into 2 phones which is the s21 ultra and One Plus 9 pro. Sony Xperia used to be my favourite but they are dusted now. Iphones? I gotta compromise too many things.,Lil_Mr_Dynamite,04/12/2021 06:56:13,https://pbs.twimg.com/profile_images/1379845117343801344/gxfmOmxF_normal.jpg,,3023,2476,False,0,0,1381501392695619586,0.336,Cule丨Ariana Grande丨Lionel Messi Supremacy
"@SamsungIndia When considering the competition, the OnePlus 9 Pro is a better and more affordable alternative to the Galaxy S21 Ultra starting at Rs Rs 64,999.@SamsungIndia ...Also one plus dony have heating problem",gurudoshi,04/11/2021 06:01:52,https://pbs.twimg.com/profile_images/1210409659208626177/0cIgcuAc_normal.jpg,,80,128,False,0,0,1381306519560445954,0.333,Passionate
"Hello guys 
I discuter a new Tech channel @bunchoftechbot. Let's Follow his reviews on YouTube... He's doing a great job 
Channel link : https://t.co/LbCBXDIKvR
Last vidéo on One plus 9 Pro https://t.co/AC8dSagJPW

#OnePlus9Series #Tech #Tt229 #Benin",cossimon,04/13/2021 08:41:14,https://pbs.twimg.com/profile_images/1160560430986735616/K7-K7rN-_normal.jpg,,1309,255,False,3,3,1381890205951668225,0.312,#5G #Cloud #Telecoms #ProjectManagement #InformationSystems || IMPOSSIBLE IS NOTHING || Information System Specialist || Trust the Process
"@OnePlus_UK Not so much of an unboxing but more an admiration of the overall packaging.

After a week with the One Plus 9 Pro my honest opinion is that it's a great device all round but battery life could've been better. 

Wireless Warp charging is a real game changer though. Love it. https://t.co/RtRSfVxYja",SpizeyMeatball,04/11/2021 01:40:52,https://pbs.twimg.com/profile_images/1372180429726420995/rdlrIi69_normal.jpg,,202,190,False,0,5,1381240835895922689,0.255,
@arun_ns_ @PeteLau Thanks for giving this wonderful product to us... Even 20 K worth phone will give better user experience compared to one plus 9 pro ... Im really disappointed from one plus..@OnePlus_IN @OnePlus_Support @oneplus https://t.co/94RUR3cHpD,DhilipWag,04/12/2021 06:31:35,https://pbs.twimg.com/profile_images/1381676831623966720/gYnKRuRi_normal.jpg,,0,94,False,0,0,1381676386297937922,0.250,
"@PeteLau @OnePlus_IN Big fan of one plus . 
Used one plus 7and 8t .
Wishing for one plus 9 pro . Love from India.",siddy___buddy,04/11/2021 02:52:49,https://pbs.twimg.com/profile_images/1260112083913506817/-NXMUya-_normal.jpg,,78,132,False,1,0,1381077751034077188,0.250,"Explorer | Traveller | Photographer






































अनुगच्छतु प्रवाहं"
Oneplus 9 pro on the left and Galaxy S21 Ultra on the right. One plus is by far more accurate. The net is red in real life and the OmePlus better portrays that. Plus the oranges are more realistic https://t.co/poCuONdzPt,RuptureTech21,04/09/2021 11:32:01,https://pbs.twimg.com/profile_images/1354339562034778116/RfNbonEF_normal.jpg,,17,273,False,0,2,1380664828059136003,0.241,Creator of RuptureTech21
